project_id,owner_id,user_id,Time_Create,Time_Meb0,Time_Meb1,Time_Cmt0,Time_Cmt1,project_language,Tech_lang,Project_Member,Project_Commit_Count,Project_Size,Open_Issues_Count,Forks,Watchers,Network_Count,Stargazers_Count,has_star_developer,Successful_Onboarding
202,1653,1662,119,0,649796,20239,2896337,JavaScript,4,195,52227,999796,683,683,2331,2092,226,1,1
392,2997,138128,60,0,3316225,65,2097657,JavaScript,2,122,17900,92974,2791,2791,8180,33671,1602,1,0
392,2997,2028259,60,0,3316225,65,2097657,JavaScript,2,122,17900,92974,2791,2791,8180,33671,1602,1,1
540,3797,36361,120,0,2355387,6140,2095492,JavaScript,3,10,15531,74341,429,429,4272,22163,903,1,1
544,4233,4334,119,0,369290,1244705,2106930,JavaScript,7,16,6625,41122,111,111,308,2152,63,1,1
581,4394,816706,120,0,3877684,2947152,2094025,C#,17,74,48668,578165,2155,2155,3672,9752,544,1,0
613,4660,650221,60,0,839412,28547,2097076,Java,2,72,4165,,,,,,,1,0
774,1146,8655,158075,158195,2693566,13784,2857325,Python,1,46,364,,,,,,,1,1
961,6232,11835,99827,99947,0,1274274,2094760,Python,5,14,16158,76648,1568,1568,4330,15286,779,1,1
1038,6492,6528,120,0,2162222,4623,3315231,C++,1,32,426,162197,53,53,212,144,29,1,1
2244,10963,17405,999847,999967,2661967,147254,2327500,Ruby,16,108,583,,,,,,,1,0
2281,11052,44666,120,0,1203915,789756,2093950,Java,1,17,60790,414374,2105,2105,3824,13176,497,1,1
2281,11052,851975,120,0,1203915,789756,2093950,Java,1,17,60790,414374,2105,2105,3824,13176,497,1,1
2713,1722,50307,120,0,485356,226082,2776728,Ruby,3,12,1132,8849,31,31,212,226,29,1,1
3208,14428,31745,989269,989389,1071041,536615,2756513,Java,4,12,541,5052,0,0,517,1983,130,1,1
3209,15036,204198,89114,89234,0,39145,2095905,C,1,11,5204,50950,462,462,15272,6164,364,1,1
3227,15096,123185,119,0,4170165,822376,2097437,PHP,1,11,10267,93113,142,142,672,1524,122,1,1
3377,4174,5305,59,0,967654,106636,2095215,JavaScript,8,8,1476,20922,14,14,11971,52495,2647,1,1
3754,4394,12290,120,0,3775558,1,3205809,C#,21,93,1084,230102,59,59,366,449,113,1,0
4221,9160,19650,120919,120979,587259,116951,2119952,PHP,13,39,1467,3824,19,19,144,364,25,1,1
4221,9160,19654,60,0,708238,4027,2119952,PHP,9,39,1467,3824,19,19,144,364,25,1,1
4232,4900,27613,59,0,151082,367215,3115724,JavaScript,2,20,1626,104107,16,16,37,102,34,1,1
4604,21335,1760309,120,0,0,337626,3208039,JavaScript,1,20,2807,32358,196,196,89,346,33,1,1
4765,22158,681681,120,0,1150745,1055705,2097204,Java,1,15,9545,725410,898,898,5752,7378,436,1,0
5465,24433,69484,5443,5503,10194,5493,4044025,Java,1,11,1322,1029590,7,7,14,9,16,1,1
6489,27881,51950,120,0,0,92107,2094290,Java,2,12,8221,112598,38,38,759,3566,247,1,0
9316,10016,11580,120,0,3311034,2615186,2094066,PHP,12,19,28941,102811,35,35,3475,8477,573,1,1
9793,10367,100445,120,0,843318,5336350,2094434,Python,1,21,22228,152845,4401,4401,3623,8976,291,1,1
11052,41406,1818,60,0,0,2,4958275,JavaScript,1,12,2546,24993,156,156,139,1070,35,1,1
11315,42008,110082,120,0,562635,241093,3852638,Java,2,24,1122,16591,661,661,2090,6949,321,1,0
11321,6691,5274,120,0,608165,58845,4160998,JavaScript,2,47,1160,9042,8,8,129,155,37,1,1
12075,44582,565314,119,0,0,1468067,2094665,C++,1,9,10860,1081106,263,263,331,1158,112,1,1
12258,23965,8170,120,0,1503730,122,2095997,Ruby,5,27,2909,5558,195,195,5383,22328,478,1,1
12789,1954,1912,1318779,1318839,435434,950992,3911106,JavaScript,4,9,717,21683,262,262,2935,21230,391,1,0
12885,8931,86034,119,0,2185705,46,2154066,Ruby,1,13,2545,20324,188,188,2215,7609,146,1,1
14398,5065,83059,60,0,2878327,2701600,2646289,Java,6,54,6421,489673,0,0,357,159,55,1,1
16929,59693,28994,4018,4138,691604,135,2248685,C++,2,14,1434,67008,62,62,98,198,41,1,1
16929,59693,361486,83195,83315,612427,79312,2248685,C++,2,14,1434,67008,62,62,98,198,41,1,0
17327,60513,123129,120,0,422053,912372,2094765,C++,1,9,3791,43147,93,93,199,1433,86,1,1
19070,16997,34330,120,0,87678,57691,3306437,Ruby,2,74,484,84637,10,10,22,66,43,1,0
19428,64725,1094126,60,0,0,46248,2094061,Python,1,20,13598,145297,369,369,1018,1878,79,1,0
19560,65027,65166,141333,141393,131946,141393,2162127,Java,1,6,2333,15088,255,255,762,1352,124,1,0
21093,18730,13201,60,0,0,804176,2094427,Ruby,17,28,3286,219640,83,83,387,458,42,1,1
21276,69468,46901,119,0,0,5,2276101,Ruby,1,17,2553,44072,107,107,662,4292,97,1,1
21292,24433,180157,228808,228868,20089,191387,4561156,PHP,1,14,567,,,,,,,1,0
21752,61913,1082,1424842,1424902,1438287,1081377,2188943,JavaScript,7,8,3416,35388,427,427,1478,17154,268,1,0
25097,5954,77283,119,0,591969,223486,2100763,JavaScript,4,235,698,10841,38,38,31,21,159,1,1
26322,81109,334865,60,0,0,0,2149604,Ruby,1,8,655,1447,129,129,436,3914,57,1,0
28047,76542,3648,120,0,1574800,506959,2468198,JavaScript,2,41,532,16156,23,23,39,294,73,1,1
28915,1962,74127,120,0,198282,271,4182407,Python,81,323,198,932,10,10,1,1,115,1,1
33145,10963,7546,120,0,3498852,900081,2125965,Ruby,19,81,1613,6642,28,28,450,3486,74,1,1
35311,5100,5408,60,0,508558,55,2102119,Ruby,14,74,241,690,4,4,139,120,182,1,0
35703,102646,80578,113549,113609,1305680,1418399,2095477,C,2,19,9348,98194,101,101,118,670,67,1,1
37843,108026,146836,59,0,146485,5191345,2095717,Java,1,26,8607,154379,622,622,1111,628,119,1,1
37843,108026,283631,59,0,146485,5191345,2095717,Java,1,26,8607,154379,622,622,1111,628,119,1,1
37853,10194,10352,120,0,319691,79316,3860245,Java,3,57,1137,16004,9,9,3,3,69,1,1
39725,3890,112308,562107,562227,615770,5308515,2307793,PHP,1,10,11158,280477,21,21,152,243,49,1,1
40117,113225,131189,119,0,506681,20403,4439603,JavaScript,1,47,87,47276,7,7,23,94,21,1,0
